task_id,flow_id,task_type,dataset_id,predictive_accuracy,setup_string,flow_class
48,70,Supervised Classification,49,0.841584,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
64,70,Learning Curve,4,0.931578947,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
93,65,Learning Curve,34,0.6,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
9,64,Supervised Classification,9,0.765854,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
20,60,Supervised Classification,20,0.782,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
116,75,Learning Curve,59,0.911111111,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
39,63,Supervised Classification,40,0.677885,weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0,trees
1,76,Supervised Classification,1,0.98441,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
38,58,Supervised Classification,39,0.854167,weka.classifiers.bayes.NaiveBayes,Bayes
53,67,Supervised Classification,54,0.604019,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
54,75,Supervised Classification,55,0.812903,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
6,61,Supervised Classification,6,0.8457,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
31,61,Supervised Classification,31,0.701,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
75,75,Learning Curve,16,0.19435,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
28,61,Supervised Classification,28,0.895552,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
10,62,Supervised Classification,10,0.756757,weka.classifiers.trees.DecisionStump,trees
57,60,Supervised Classification,59,0.894587,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
37,57,Supervised Classification,37,0.71224,weka.classifiers.rules.OneR -- -B 6,rules
12,63,Supervised Classification,12,0.924,weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0,trees
3,58,Supervised Classification,3,0.874218,weka.classifiers.bayes.NaiveBayes,Bayes
35,66,Supervised Classification,35,0.95082,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
59,67,Supervised Classification,61,0.94,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
16,57,Supervised Classification,16,0.3005,weka.classifiers.rules.OneR -- -B 6,rules
48,67,Supervised Classification,49,0.838284,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
35,65,Supervised Classification,35,0.953552,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
26,66,Supervised Classification,26,0.982948,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
14,58,Supervised Classification,14,0.7595,weka.classifiers.bayes.NaiveBayes,Bayes
13,56,Supervised Classification,13,0.702797,weka.classifiers.rules.ZeroR,rules
16,61,Supervised Classification,16,0.773,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
51,56,Supervised Classification,52,0,weka.classifiers.rules.ZeroR,rules
52,61,Supervised Classification,53,0.751852,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
47,72,Supervised Classification,48,0.344371,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
10,77,Supervised Classification,10,0.804054,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
54,60,Supervised Classification,55,0.767742,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
28,64,Supervised Classification,28,0.866548,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
28,67,Supervised Classification,28,0.922242,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
48,61,Supervised Classification,49,0.768977,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
41,58,Supervised Classification,42,0.925329,weka.classifiers.bayes.NaiveBayes,Bayes
14,75,Supervised Classification,14,0.197,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
