task_id,flow_id,task_type,dataset_id,predictive_accuracy
2,58,Supervised Classification,2,0.746102
38,70,Supervised Classification,39,0.830357
48,56,Supervised Classification,49,0.544554
11,56,Supervised Classification,11,0.4576
30,77,Supervised Classification,30,0.968208
51,74,Supervised Classification,52,0.8
15,67,Supervised Classification,15,0.969957
40,76,Supervised Classification,41,0.766355
39,61,Supervised Classification,40,0.6875
2,75,Supervised Classification,2,0.836303
57,59,Supervised Classification,59,0.888889
5,76,Supervised Classification,5,0.725664
37,60,Supervised Classification,37,0.74349
38,67,Supervised Classification,39,0.818452
5,62,Supervised Classification,5,0.553097
2,60,Supervised Classification,2,0.912027
35,67,Supervised Classification,35,0.972678
57,76,Supervised Classification,59,0.905983
52,65,Supervised Classification,53,0.803704
21,58,Supervised Classification,21,0.853588
59,61,Supervised Classification,61,0.926667
31,77,Supervised Classification,31,0.727
30,64,Supervised Classification,30,0.964919
54,59,Supervised Classification,55,0.76129
18,76,Supervised Classification,18,0.7085
21,57,Supervised Classification,21,0.700231
13,72,Supervised Classification,13,0.702797
2,74,Supervised Classification,2,0.871938
5,77,Supervised Classification,5,0.738938
5,70,Supervised Classification,5,0.712389
47,77,Supervised Classification,48,0.536424
42,70,Supervised Classification,43,0.732026
37,67,Supervised Classification,37,0.752604
27,61,Supervised Classification,27,0.839674
21,62,Supervised Classification,21,0.700231
47,60,Supervised Classification,48,0.562914
9,74,Supervised Classification,9,0.702439
4,62,Supervised Classification,4,0.842105
23,62,Supervised Classification,23,0.42702
6,67,Supervised Classification,6,0.74345
14,59,Supervised Classification,14,0.711
43,56,Supervised Classification,44,0.605955
15,61,Supervised Classification,15,0.951359
59,77,Supervised Classification,61,0.946667
34,67,Supervised Classification,34,0.711111
43,64,Supervised Classification,44,0.915671
15,75,Supervised Classification,15,0.951359
7,64,Supervised Classification,7,0.606195
7,67,Supervised Classification,7,0.774336
50,64,Supervised Classification,51,0.741497
2,66,Supervised Classification,2,0.949889
24,61,Supervised Classification,24,0.999385
50,61,Supervised Classification,51,0.802721
23,72,Supervised Classification,23,0.430414
48,66,Supervised Classification,49,0.768977
15,70,Supervised Classification,15,0.965665
29,67,Supervised Classification,29,0.866667
59,62,Supervised Classification,61,0.666667
29,61,Supervised Classification,29,0.846377
51,77,Supervised Classification,52,0.6
55,67,Supervised Classification,56,0.901149
42,77,Supervised Classification,43,0.751634
27,57,Supervised Classification,27,0.815217
11,67,Supervised Classification,11,0.7264
1,74,Supervised Classification,1,0.988864
42,72,Supervised Classification,43,0.735294
31,76,Supervised Classification,31,0.731
2,70,Supervised Classification,2,0.86971
53,65,Supervised Classification,54,0.739953
55,72,Supervised Classification,56,0.947126
58,63,Supervised Classification,60,0.7996
15,64,Supervised Classification,15,0.932761
16,72,Supervised Classification,16,0.927
53,64,Supervised Classification,54,0.691489
42,59,Supervised Classification,43,0.72549
49,65,Supervised Classification,50,0.924843
30,65,Supervised Classification,30,0.972958
40,61,Supervised Classification,41,0.654206
35,74,Supervised Classification,35,0.97541
28,77,Supervised Classification,28,0.917794
1,70,Supervised Classification,1,0.973274
41,57,Supervised Classification,42,0.398243
40,60,Supervised Classification,41,0.67757
35,61,Supervised Classification,35,0.912568
26,62,Supervised Classification,26,0.6625
16,76,Supervised Classification,16,0.8735
9,66,Supervised Classification,9,0.736585
26,74,Supervised Classification,26,0.924923
