task_id,flow_id,predictive_accuracy
21,66,0.934606
27,76,0.853261
58,76,0.8198
22,63,0.7345
26,56,0.333333
7,70,0.79646
20,57,0.232
13,75,0.702797
71,72,0.9588
68,70,0.709268293
90,56,0.7
20,72,0.979
47,74,0.529801
11,76,0.8464
21,56,0.700231
28,57,0.265836
9,76,0.609756
22,75,0.196
27,56,0.630435
36,76,0.967965
34,62,0.7
32,66,0.993905
53,59,0.692671
26,70,0.93071
29,58,0.778261
54,62,0.787097
24,57,0.985229
43,57,0.783525
9,59,0.746341
47,65,0.615894
58,70,0.8644
31,66,0.709
23,57,0.479294
58,58,0.7996
34,58,0.7
6,60,0.87795
3,62,0.660513
24,74,1
53,60,0.70331
36,70,0.927706
3,61,0.9903
32,60,0.965793
12,60,0.8895
57,57,0.823362
54,61,0.787097
10,74,0.804054
50,67,0.85034
11,63,0.9072
29,62,0.855072
51,62,0.6
59,56,0.333333
11,61,0.7744
7,59,0.747788
1,59,0.98441
57,63,0.883191
40,67,0.696262
32,70,0.979894
21,61,0.884838
55,56,0.613793
47,76,0.582781
3,67,0.874218
41,70,0.93265
22,57,0.269
48,72,0.834983
38,74,0.854167
40,57,0.528037
13,59,0.716783
10,65,0.851351
58,59,0.7954
31,56,0.7
51,75,0.5
27,60,0.853261
58,66,0.7324
4,66,0.842105
36,64,0.95974
29,66,0.813043
35,77,0.972678
53,57,0.522459
14,72,0.777
41,59,0.918009
50,76,0.802721
57,66,0.860399
34,75,0.7
13,57,0.674825
32,65,0.988082
36,72,0.818615
31,58,0.753
6,65,0.9407
16,56,0.1
9,67,0.658537
54,74,0.83871
30,61,0.966015
49,61,0.796451
16,59,0.808
12,67,0.9335
31,60,0.709
52,76,0.781481
10,67,0.858108
51,61,0
20,67,0.9375
48,59,0.788779
9,70,0.692683
58,56,0.3384
28,75,0.197509
55,65,0.963218
41,66,0.910688
20,75,0.193
24,76,1
32,56,0.103712
52,60,0.785185
29,59,0.865217
57,64,0.877493
43,77,0.919583
39,65,0.75
13,64,0.674825
26,60,0.971296
42,66,0.679739
54,72,0.793548
30,76,0.972227
14,74,0.742
5,74,0.530973
2,64,0.92539
26,57,0.709722
2,65,0.94098
16,62,0.1945
10,60,0.783784
35,59,0.855191
39,62,0.706731
28,74,0.942171
22,56,0.1
3,74,0.974343
38,65,0.824405
52,67,0.822222
47,66,0.642384
52,59,0.785185
58,57,0.5338
31,70,0.751
12,59,0.889
26,76,0.972454
13,74,0.695804
9,65,0.829268
29,72,0.855072
51,60,0.9
57,65,0.94302
27,65,0.847826
20,59,0.876
27,58,0.793478
47,70,0.536424
13,61,0.692308
7,77,0.831858
41,77,0.93265
30,58,0.898959
35,57,0.502732
31,59,0.715
37,77,0.742188
40,75,0.448598
1,67,0.961024
43,62,0.77983
24,77,0.982398
29,74,0.847826
40,77,0.71028
39,60,0.677885
28,66,0.987189
50,74,0.826531
22,70,0.825
29,64,0.773913
58,60,0.7436
21,72,0.842593
34,72,0.711111
29,56,0.555072
30,67,0.934771
27,62,0.815217
47,62,0.377483
39,59,0.745192
10,66,0.824324
39,56,0.533654
39,74,0.697115
5,72,0.542035
13,60,0.748252
47,64,0.655629
6,58,0.64105
50,75,0.79932
55,61,0.947126
41,74,0.925329
52,66,0.722222
11,62,0.584
38,64,0.764881
58,62,0.5686
27,75,0.82337
55,77,0.958621
41,65,0.919473
9,77,0.804878
49,77,0.723382
24,70,1
37,56,0.651042
1,65,0.991091
6,63,0.64205
21,65,0.935185
18,77,0.7225
6,74,0.7736
37,66,0.703125
2,58,0.746102
38,70,0.830357
48,56,0.544554
11,56,0.4576
30,77,0.968208
51,74,0.8
15,67,0.969957
40,76,0.766355
39,61,0.6875
2,75,0.836303
57,59,0.888889
5,76,0.725664
37,60,0.74349
38,67,0.818452
5,62,0.553097
2,60,0.912027
35,67,0.972678
57,76,0.905983
52,65,0.803704
21,58,0.853588
59,61,0.926667
31,77,0.727
30,64,0.964919
54,59,0.76129
18,76,0.7085
21,57,0.700231
13,72,0.702797
2,74,0.871938
5,77,0.738938
5,70,0.712389
47,77,0.536424
42,70,0.732026
37,67,0.752604
27,61,0.839674
21,62,0.700231
47,60,0.562914
9,74,0.702439
4,62,0.842105
23,62,0.42702
6,67,0.74345
14,59,0.711
43,56,0.605955
15,61,0.951359
59,77,0.946667
34,67,0.711111
43,64,0.915671
15,75,0.951359
7,64,0.606195
7,67,0.774336
50,64,0.741497
2,66,0.949889
24,61,0.999385
50,61,0.802721
23,72,0.430414
48,66,0.768977
15,70,0.965665
29,67,0.866667
59,62,0.666667
29,61,0.846377
51,77,0.6
55,67,0.901149
42,77,0.751634
27,57,0.815217
11,67,0.7264
1,74,0.988864
42,72,0.735294
31,76,0.731
2,70,0.86971
53,65,0.739953
55,72,0.947126
58,63,0.7996
15,64,0.932761
16,72,0.927
53,64,0.691489
42,59,0.72549
49,65,0.924843
30,65,0.972958
40,61,0.654206
35,74,0.97541
28,77,0.917794
1,70,0.973274
41,57,0.398243
40,60,0.67757
35,61,0.912568
26,62,0.6625
16,76,0.8735
9,66,0.736585
26,74,0.924923
2,61,0.917595
2,72,0.761693
18,59,0.708
26,65,0.977469
34,77,0.666667
27,72,0.850543
12,74,0.9795
12,64,0.8525
40,70,0.584112
