task_id,flow_id,predictive_accuracy
3,74,0.974343
192,83,0.739032
165,96,0.811082
127,81,0
2178,57,0
96,91,0
1711,92,0
2243,101,0
21,94,0
2151,86,0
2227,93,0
2234,82,0
2126,97,0
2128,81,0
2155,83,0.912029
181,103,0
2252,87,0
2156,93,0.699774
1731,65,0.987081514
171,97,0
167,81,0.815432
172,98,0.762323
72,105,0
52,63,0.837037
161,93,0.662777
2243,81,0.7
2149,87,0
49,99,0
47,99,0
2198,64,0
2224,105,0.090909
69,81,0
197,93,0
2149,103,0
198,80,0
57,77,0
177,103,0
2228,83,0
158,85,0.741505
2252,87,0.97884
11,56,0.4576
63,64,0
2250,99,0.771845
2240,79,0.978328
2180,95,0.9045
2175,101,0.004425
189,82,0.922253
2233,86,0
2232,91,0
2180,87,0
2225,86,0.877493
159,105,0.481988
2215,105,0.324503
2226,92,0.8008
171,81,0
2170,97,0.760579
130,82,0.689985
2245,103,0
178,98,0
121,78,0
2129,93,0.353
2156,108,0
2131,108,0.582938
190,83,0
200,83,0.888835
129,61,0
2196,106,0
187,85,0
2173,106,0
41,65,0.919473
2245,99,0
190,95,0
196,101,0.636811
2221,108,0
38,58,0.854167
16,79,0
2133,98,0.194556
2243,82,0
11,61,0.7744
2158,78,0
166,101,0
123,105,0.928378
2181,83,0.678322
168,87,0.709879
2220,81,0.792593
2182,101,0.1
2198,99,0
2219,106,0.5
2200,63,0
2149,99,0
2188,87,0.862
2216,99,0.544554
2229,87,0
2216,87,0.818482
2209,80,0.896047
159,58,0
198,76,0
2178,99,0
2150,86,0.716881
85,76,0.973402778
2166,96,0
2156,84,0
2212,101,0.5
20,75,0.193
2157,92,0
2248,98,0
2166,72,0
2184,80,0.922
89,88,0
167,86,0.899217
2237,83,0
187,87,0.920162
90,60,0.7085
2156,106,0
2242,93,0
20,60,0.782
191,97,0.499391
2202,64,0
171,95,0
2173,80,0.54646
178,106,0
2176,105,0.42029
2150,78,0.689701
2152,83,0.67543
2178,103,0
187,65,0
2222,97,0
189,78,0
2151,84,0
2175,106,0
2193,101,0.663043
2186,105,0
2237,90,0
2226,86,0.8112
31,106,0
2094,99,0
2179,79,0.0768
181,81,0.888423
184,97,0.091239
2223,106,0.613793
2203,90,0
158,97,0
2211,70,0
193,92,0.760685
181,87,0.907669
2172,92,0
126,58,0
187,70,0
2132,76,0
2207,83,0.721154
129,80,0
2153,83,0
2224,91,0
123,86,0.95903
2153,91,0.769079
190,99,0.613939
2178,82,0.75
49,58,0.700418
179,59,0
14,72,0.777
174,91,0.462884
98,63,0.688942308
2126,108,0
167,84,0.894541
178,87,0.905996
176,99,0
186,82,0.755407
2179,87,0.7872
2248,84,0
188,94,0.73539
2177,95,0.482927
2225,86,0
2129,80,0.942959
2170,79,0.111359
72,77,0.701398601
2195,70,0
73,57,0.38635
2217,79,0
82,106,0
2239,92,0.933333
170,98,0.246262
168,105,0
2219,103,0.5
2217,80,0.724426
2188,86,0
168,90,0.422977
2209,85,0
27,64,0.788043
24,70,1
2152,103,0.774418
80,57,0.700231481
2163,90,0
2246,90,0.238103
95,92,0
2246,83,0
2174,89,0
176,79,0.828979
124,78,0.46173
27,92,0
22,96,0
95,76,0
170,86,0.857601
2180,101,0.1
160,101,0.98159
2236,94,0.493056
184,79,0.090979
2173,84,0
54,61,0.787097
87,66,0.986975089
2220,84,0.796296
2169,93,0
193,98,0
2171,95,0
2172,98,0.736842
2245,86,0.498652
162,98,0.837609
2189,108,0
124,81,0
66,83,0
121,79,0.110562
2133,96,0.099956
1714,106,0
1717,78,0
193,101,0
74,84,0
2209,57,0
2184,92,0
1717,60,0.713
123,84,0.962073
175,78,0
2188,82,0.8975
2189,70,0
2152,89,0
2232,97,0
2234,84,0.467593
2241,95,0
2268,87,0
2130,99,0
2229,108,0
181,99,0.862451
2180,99,0.1
2184,94,0.9245
198,80,0.452721
170,84,0
126,82,0.865426
2224,96,0.00101
2153,70,0
89,77,0.968262379
176,76,0
2204,105,0.514286
2186,81,0.7025
2174,86,0
5,96,0
2131,97,0
2222,98,0.677419
12,105,0
2176,78,0
185,81,0
2211,96,0
192,83,0
18,64,0.642
2210,80,0
199,84,0.855245
2164,92,0.660355
2244,96,0.634413
2213,87,0.522884
2243,80,0.7
2195,90,0
2217,108,0
159,83,0.514124
2170,79,0
2244,83,0.842369
2237,94,0
58,58,0.7996
73,59,0.7302
2153,90,0
2202,105,0.711111
2165,76,0
181,97,0.791047
2211,92,0.916975
40,67,0.696262
2226,57,0
2230,97,0.6875
2224,106,0.090909
28,105,0
2195,78,0.766304
41,83,0
2177,84,0.468293
168,86,0
2171,103,0.56164
1736,67,0.76171875
2162,93,0
2250,91,0.771845
2228,106,0
2222,97,0.787097
2056,91,0
160,97,0.518292
2152,76,0
