,task_id,flow_id,associated
675,198,97,0
676,2252,98,0
677,2211,97,1
678,2129,99,1
679,24,78,0
680,2246,92,0
681,158,99,1
682,2205,101,1
683,177,79,1
684,161,101,1
685,2168,84,0
686,31,75,1
687,1711,66,1
688,195,95,0
689,2202,85,1
690,2131,99,1
691,158,108,0
692,2194,101,1
693,179,98,0
694,178,105,1
695,2128,95,0
696,179,84,1
697,2218,79,1
698,126,94,0
699,40,86,0
700,2251,95,0
701,2212,81,1
702,184,94,0
703,2127,106,0
704,2246,80,1
705,2166,99,0
706,2188,97,0
707,2236,81,0
708,75,80,0
709,181,91,1
710,178,80,0
711,189,91,0
712,123,93,1
713,2217,85,1
714,2189,99,1
715,2194,86,0
716,42,78,0
717,2216,101,1
718,2198,105,1
719,36,64,1
720,2211,103,1
721,2150,65,0
722,72,58,1
723,158,66,0
724,197,87,1
725,38,94,0
726,2235,101,0
727,2247,92,1
728,2127,56,0
729,2205,92,1
730,2211,99,1
731,175,103,0
732,199,92,1
733,2245,82,1
734,176,108,0
735,2243,65,0
736,185,106,1
737,122,96,0
738,2159,96,1
739,2227,85,1
740,2246,86,1
741,2199,82,1
742,88,70,1
743,128,79,0
744,165,57,0
745,12,67,1
746,194,97,1
747,116,96,0
748,2195,94,1
749,2134,80,0
750,1703,79,0
751,2133,98,0
752,2153,96,0
753,2160,97,0
754,2234,80,0
755,192,91,1
756,125,80,1
757,2249,101,0
758,189,103,0
759,124,93,1
760,2157,106,0
761,2205,80,0
762,2192,99,1
763,2191,81,1
764,7,72,0
765,35,61,1
766,2168,99,0
767,2151,86,0
768,20,91,0
769,26,70,1
770,2192,61,0
771,2171,95,0
772,28,81,0
773,2226,85,0
774,2131,74,0
775,2,60,1
776,2184,87,0
777,196,103,0
778,164,80,0
779,2177,96,0
780,85,77,0
781,2183,95,1
782,26,57,0
783,2130,82,1
784,2184,95,0
785,1711,95,0
786,65,90,0
787,2173,84,1
788,161,86,1
789,1757,99,0
790,2154,72,0
791,2153,70,0
792,2189,81,1
793,2156,84,0
794,1727,76,1
795,196,86,0
796,194,93,1
797,55,77,1
798,198,84,1
799,2130,94,1
800,2149,87,0
801,158,85,0
802,162,84,1
803,187,108,0
804,2151,105,0
805,43,92,0
806,2171,93,1
807,127,99,0
808,2129,95,0
809,182,78,0
810,2172,79,1
811,193,103,1
812,2164,87,0
813,2203,81,1
814,2204,91,0
815,2250,82,1
816,2193,79,1
817,127,81,1
818,2209,103,1
819,2225,61,0
820,165,83,1
821,172,81,0
822,2230,92,1
823,63,59,1
824,87,58,0
825,2198,99,0
826,2169,65,0
827,47,106,0
828,2197,108,1
829,91,60,0
830,2174,84,1
831,2214,83,1
832,2205,91,1
833,2225,105,1
834,2155,101,0
835,74,63,1
836,2170,86,1
837,2239,82,0
838,177,103,0
839,2214,78,1
840,2127,96,1
841,184,103,1
842,2194,99,0
843,2214,92,1
844,1723,91,0
845,183,93,0
846,2159,82,0
847,2218,91,0
848,14,80,0
849,2217,98,0
850,2230,85,1
851,2172,97,1
852,2220,103,1
853,2239,92,0
854,163,86,0
855,2236,87,0
856,191,92,1
857,2182,95,1
858,2248,103,1
859,2167,106,1
860,2207,105,1
861,2183,64,0
862,2241,98,0
863,2252,93,1
864,122,85,0
865,2170,98,0
866,30,77,1
867,200,80,0
868,167,103,1
869,2227,93,1
870,2247,86,1
871,179,86,0
872,2225,95,1
873,96,92,0
874,16,62,1
875,2241,103,0
876,95,67,1
877,37,56,1
878,2153,77,0
879,63,72,1
880,2219,70,0
881,2133,98,1
882,2211,83,1
883,2197,97,1
884,166,58,0
885,2200,79,1
886,188,94,1
887,2158,77,0
888,2203,93,0
889,2152,82,1
890,2246,94,0
891,2235,103,0
892,2242,87,0
893,158,93,1
894,120,86,1
895,165,80,0
896,2097,84,0
897,2202,78,0
898,2203,106,1
899,2158,91,1
900,2184,62,0
901,2215,105,1
902,2222,105,0
903,2182,92,1
904,2178,79,1
905,2228,99,1
906,2239,103,1
907,2216,84,0
908,2163,79,0
909,123,65,0
910,50,79,0
911,128,78,0
912,200,87,0
913,161,108,0
914,2247,97,1
915,2056,103,0
916,172,57,0
917,1713,75,1
918,2178,96,1
919,11,76,1
920,2179,86,1
921,2157,98,0
922,2157,84,0
923,2252,105,0
924,2166,90,1
925,12,76,1
926,178,108,0
927,2189,59,0
928,2225,105,0
929,2186,105,1
930,127,78,1
931,2207,106,1
932,168,90,1
933,124,80,0
934,6,82,0
935,2219,85,0
936,159,105,1
937,2237,93,1
938,164,97,0
939,2212,97,1
940,2131,83,0
941,126,86,1
942,12,99,0
943,161,57,0
944,2224,98,0
945,2203,90,1
946,2175,67,0
947,97,56,0
948,2197,91,1
949,2156,86,0
950,170,99,0
951,2158,84,0
952,2167,101,1
953,2203,95,1
954,2130,86,0
955,183,84,0
956,190,106,1
957,30,76,1
958,175,70,0
959,2134,94,1
960,1720,61,1
961,171,85,1
962,2202,81,0
963,36,56,1
964,195,83,0
965,55,101,0
966,2126,81,1
967,130,80,1
968,2176,75,0
969,2199,72,0
970,2176,83,0
971,2162,92,0
972,199,98,1
973,2150,65,0
974,2183,84,1
975,2192,97,0
976,2201,101,1
977,2211,57,0
978,5,105,0
979,185,86,1
980,2132,84,0
981,2160,86,0
982,2235,85,1
983,2207,84,1
984,125,66,0
985,2213,83,0
986,2199,86,1
987,2166,81,1
988,18,88,0
989,161,93,1
990,199,95,0
991,6,97,0
992,2233,96,1
993,2129,83,0
994,2165,80,1
995,199,80,1
996,175,105,1
997,2186,103,0
998,2205,95,1
999,182,94,0
1000,2228,105,0
1001,2193,82,0
1002,2130,72,0
1003,34,82,0
1004,2202,80,0
1005,2196,106,0
1006,2188,108,1
1007,2166,85,1
1008,2227,105,0
1009,129,80,0
1010,2186,85,0
1011,2216,86,1
1012,2230,80,1
1013,193,103,0
1014,21,85,0
1015,2203,96,0
1016,175,95,0
1017,2233,70,0
1018,179,86,0
1019,187,82,1
1020,2152,84,0
1021,9,64,1
1022,181,80,1
1023,2250,80,1
1024,70,63,1
1025,177,99,0
1026,200,84,0
1027,2240,87,1
1028,2204,93,1
1029,2234,84,0
1030,2219,99,0
1031,95,64,0
1032,2249,93,1
1033,2170,92,0
1034,94,59,1
1035,2172,85,0
1036,2130,94,0
1037,2235,90,1
1038,126,80,1
1039,2156,92,0
1040,2250,82,0
1041,2197,93,1
1042,1713,56,1
1043,2217,108,0
1044,120,87,0
1045,20,67,1
1046,2224,92,0
1047,53,97,0
1048,2209,101,1
1049,121,59,0
1050,189,106,1
1051,43,93,0
1052,2157,101,0
1053,2162,85,1
1054,21,62,1
